receipt_id,brand_code,barcode,quantity_purchased,final_price,item_price,price_after_coupon,points_earned,points_payer_id,needs_fetch_review,needs_fetch_review_reason,description,original_receipt_item_text,metabrite_campaign_id,original_meta_brite_barcode,original_meta_brite_description,original_final_price,original_meta_brite_item_price,original_meta_brite_quantity_purchased,user_flagged_barcode,user_flagged_description,user_flagged_new_item,user_flagged_price,user_flagged_quantity,item_number,partner_item_id,points_not_awarded_reason,rewards_group,rewards_product_partner_id,target_price,prevent_target_gap_points,competitor_rewards_group,competitive_product,discounted_item_price,deleted
6009e72c0a720f0535000003,,,1,6.91,6.91,0.0,0,,False,,E NIL'S SAUSAGE MUSHROOM PIZZA,E NIL'S SAUSAGE MUSHROOM PIZZA,,,,0.0,0.0,0,,,False,0.0,0,,1129,,,,0.0,False,,0,6.91,False
6009e72c0a720f0535000003,,,5,13.95,13.95,0.0,0,,False,,KLARBRUNN 12PK 12 FL OZ,KLARBRUNN 12PK 12 FL OZ,,,,0.0,0.0,0,,,False,0.0,0,,1141,,,,0.0,False,,0,13.95,False
6009e72c0a720f0535000003,KNORR,041000022623,3,4.98,4.98,0.0,49,5332f5f6e4b03c9a25efd0b4,False,,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,KNORR CREAMY CHICKEN,KNORR SIDES,,,0.0,0.0,0,,,False,0.0,0,,1144,,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,4.98,False
6009e72c0a720f0535000003,,,1,6.6,6.6,0.0,0,,False,,ERNILS SAUSAGE MUSHROOM PIZZA,ERNILS SAUSAGE MUSHROOM PIZZA,,,,0.0,0.0,0,,,False,0.0,0,,1147,,,,0.0,False,,0,6.6,False
6009e72c0a720f0535000003,PEPSI,012000809941,1,1.04,1.04,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,REGULAR PEPSI SODA COLA CAN 12 CT 144 OZ,"PEPSI COLA, 12 OZ.CAN",PEPSI 12 OZ 12 PACK,,,0.0,0.0,0,,,False,0.0,0,,1149,Action not allowed for user and CPG,PEPSI 12 OZ 12 PACK,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,1.04,False
6009e72c0a720f0535000003,DORITOS,028400642033,1,3.83,3.83,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,DORITOS TORTILLA CHIP NACHO CHEESE BAG 7.625 OZ,"DORITOS NACHO CHEESE, 28.5 OZ",DORITOS NACHO CHEESE MULTI SERVE,,,0.0,0.0,0,,,False,0.0,0,,1153,Action not allowed for user and CPG,DORITOS NACHO CHEESE MULTI SERVE,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,3.83,False
6009e72c0a720f0535000003,BEN AND JERRYS,076840100354,5,23.25,23.25,0.0,232,5332f5f6e4b03c9a25efd0b4,False,,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,BEN & JERRY'S CHUNKY MONKEY PINT,BEN AND JERRYS ICE CREAM,,,0.0,0.0,0,,,False,0.0,0,,1155,,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,23.25,False
6009e72c0a720f0535000003,BEN AND JERRYS,076840580750,4,23.0,23.0,0.0,230,5332f5f6e4b03c9a25efd0b4,False,,Ben & Jerry's Chunky Monkey Non-Dairy Frozen Dessert 16 oz,BEN & JERRY S CHUNKY MONKEY PINT,BEN AND JERRYS ICE CREAM,,,0.0,0.0,0,,,False,0.0,0,,1158,,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,23.0,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,7.76,7.76,0.0,77,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX TRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1161,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,7.76,False
6009e72c0a720f0535000003,,,2,6.1,6.1,0.0,0,,False,,KLARBRUNN 12PK 12 FL OZ,KLARBRUNN 12PK 12 FL OZ,,,,0.0,0.0,0,,,False,0.0,0,,1164,,,,0.0,False,,0,6.1,False
6009e72c0a720f0535000003,PEPSI,012000809941,4,4.28,4.28,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,REGULAR PEPSI SODA COLA CAN 12 CT 144 OZ,"PEPSI COLA, 12 OZ.CAN",PEPSI 12 OZ 12 PACK,,,0.0,0.0,0,,,False,0.0,0,,1182,Action not allowed for user and CPG,PEPSI 12 OZ 12 PACK,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,4.28,False
6009e72c0a720f0535000003,,,2,13.5,13.5,0.0,0,,False,,BNNILS SAUSAGE MUSHROOM PIZZA,BNNILS SAUSAGE MUSHROOM PIZZA,,,,0.0,0.0,0,,,False,0.0,0,,1185,,,,0.0,False,,0,13.5,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,6.94,6.94,0.0,69,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX TRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1188,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,6.94,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,8.34,8.34,0.0,83,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX TRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1203,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,8.34,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,5.74,5.74,0.0,57,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX TRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1206,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,5.74,False
6009e72c0a720f0535000003,PEPSI,012000809941,2,2.88,2.88,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,REGULAR PEPSI SODA COLA CAN 12 CT 144 OZ,"PEPSI COLA, 12 OZ.CAN",PEPSI 12 OZ 12 PACK,,,0.0,0.0,0,,,False,0.0,0,,1209,Action not allowed for user and CPG,PEPSI 12 OZ 12 PACK,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,2.88,False
6009e72c0a720f0535000003,BORDEN,815473010360,2,8.96,8.96,0.0,0,,False,,Borden 1% Chocolate Milk,"BORDEN 29 MILK, 1/2 GAL",,,,0.0,0.0,0,,,False,0.0,0,,1212,,,,0.0,False,,0,8.96,False
6009e72c0a720f0535000003,BEN AND JERRYS,076840100354,1,4.73,4.73,0.0,47,5332f5f6e4b03c9a25efd0b4,False,,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,BEN & JERRY S CHUNKY MONKEY PINT,BEN AND JERRYS ICE CREAM,,,0.0,0.0,0,,,False,0.0,0,,1228,,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,4.73,False
6009e72c0a720f0535000003,,,2,13.52,13.52,0.0,0,,False,,EMILS SAUSAGE MUSHROOM PIZZA,EMILS SAUSAGE MUSHROOM PIZZA,,,,0.0,0.0,0,,,False,0.0,0,,1230,,,,0.0,False,,0,13.52,False
6009e72c0a720f0535000003,KNORR,041000022623,1,1.71,1.71,0.0,17,5332f5f6e4b03c9a25efd0b4,False,,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,KNORR CREAMY CHICKEN,KNORR SIDES,,,0.0,0.0,0,,,False,0.0,0,,1233,,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,1.71,False
6009e72c0a720f0535000003,DORITOS,028400642033,1,3.45,3.45,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,DORITOS TORTILLA CHIP NACHO CHEESE BAG 7.625 OZ,"DORITOS NL ACHO CHEESE, 28.5 OZ",DORITOS NACHO CHEESE MULTI SERVE,,,0.0,0.0,0,,,False,0.0,0,,1244,Action not allowed for user and CPG,DORITOS NACHO CHEESE MULTI SERVE,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,3.45,False
6009e72c0a720f0535000003,KNORR,041000022623,4,6.84,6.84,0.0,68,5332f5f6e4b03c9a25efd0b4,False,,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,KNORR CREA NY CHICKEN,KNORR SIDES,,,0.0,0.0,0,,,False,0.0,0,,1246,,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,6.84,False
6009e72c0a720f0535000003,,,2,13.44,13.44,0.0,0,,False,,ERNILS SAUSAGE MUSHROOM PIZZA,ERNILS SAUSAGE MUSHROOM PIZZA,,,,0.0,0.0,0,,,False,0.0,0,,1249,,,,0.0,False,,0,13.44,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,4.08,4.08,0.0,40,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX IRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1252,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,4.08,False
6009e72c0a720f0535000003,KNORR,041000022623,1,1.74,1.74,0.0,17,5332f5f6e4b03c9a25efd0b4,False,,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,KNORR CREAMY CHICKEN,KNORR SIDES,,,0.0,0.0,0,,,False,0.0,0,,1257,,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,1.74,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,7.46,7.46,0.0,74,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX TRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1259,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,7.46,False
6009e72c0a720f0535000003,BORDEN,,1,4.01,4.01,0.0,0,,False,,"BORDEN 29 MILK, 1/2 GAL","BORDEN 29 MILK, 1/2 GAL",,,,0.0,0.0,0,,,False,0.0,0,,1262,,,,0.0,False,,0,4.01,False
6009e72c0a720f0535000003,KLEENEX,036000391718,2,7.22,7.22,0.0,72,550b2565e4b001d5e9e4146f,False,,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,KLEENEX TRUSTED CARE FACIAL TISSUES,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",,,0.0,0.0,0,,,False,0.0,0,,1264,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,0.0,False,,0,7.22,False
6009e72c0a720f0535000003,,,2,4.0,4.0,0.0,0,,False,,KLARBRUNN 12PK 12 FL OZ,KLARBRUNN 12PK 12 FL OZ,,,,0.0,0.0,0,,,False,0.0,0,,1267,,,,0.0,False,,0,4.0,False
6009e72c0a720f0535000003,,,6,15.54,15.54,0.0,0,,False,,KLARBRUNN 12PK 12 FL OZ,KLARBRUNN 12PK 12 FL OZ,,,,0.0,0.0,0,,,False,0.0,0,,1272,,,,0.0,False,,0,15.54,False
6009e72c0a720f0535000003,KNORR,041000022623,7,10.57,10.57,0.0,105,5332f5f6e4b03c9a25efd0b4,False,,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,KNORR CREAMY CHICKEN,KNORR SIDES,,,0.0,0.0,0,,,False,0.0,0,,1275,,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,10.57,False
6009e72c0a720f0535000003,PEPSI,012000809941,2,1.66,1.66,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,REGULAR PEPSI SODA COLA CAN 12 CT 144 OZ,"PEPSI COLA, 12 OZ.CAN",PEPSI 12 OZ 12 PACK,,,0.0,0.0,0,,,False,0.0,0,,1278,Action not allowed for user and CPG,PEPSI 12 OZ 12 PACK,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,1.66,False
6009e72c0a720f0535000003,BEN AND JERRYS,076840100354,1,4.29,4.29,0.0,42,5332f5f6e4b03c9a25efd0b4,False,,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,BEN & JERRY'S CHUNKY MONKEY PINT,BEN AND JERRYS ICE CREAM,,,0.0,0.0,0,,,False,0.0,0,,1281,,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,0.0,False,,0,4.29,False
6009e72c0a720f0535000003,,,3,2.43,2.43,0.0,0,,False,,"PEPSI COLA, 12 OZ.CAN","PEPSI COLA, 12 OZ.CAN",,,,0.0,0.0,0,,,False,0.0,0,,1285,,,,0.0,False,,0,2.43,False
6009e72c0a720f0535000003,,,1,4.78,4.78,0.0,0,,False,,"BORDEN 2% MILK, 1/2 GAL","BORDEN 2% MILK, 1/2 GAL",,,,0.0,0.0,0,,,False,0.0,0,,1288,,,,0.0,False,,0,4.78,False
6009e72c0a720f0535000003,,,1,4.45,4.45,0.0,0,,False,,BEN & JERRY'S CHUNKY MONKEY PINT,BEN & JERRY'S CHUNKY MONKEY PINT,,,,0.0,0.0,0,,,False,0.0,0,,1290,,,,0.0,False,,0,4.45,False
6009e72c0a720f0535000003,,,1,4.43,4.43,0.0,0,,False,,"BORDEN 2% MILK, 1/2 GAL","BORDEN 2% MILK, 1/2 GAL",,,,0.0,0.0,0,,,False,0.0,0,,1292,,,,0.0,False,,0,4.43,False
6009e72c0a720f0535000003,,,1,4.11,4.11,0.0,0,,False,,"BORDEN 2% MILK, 1/2 GAL","BORDEN 2% MILK, 1/2 GAL",,,,0.0,0.0,0,,,False,0.0,0,,1294,,,,0.0,False,,0,4.11,False
6009e72c0a720f0535000003,,,3,6.27,6.27,0.0,0,,False,,KLARBRUNN 12PK 12 FL OZ,KLARBRUNN 12PK 12 FL OZ,,,,0.0,0.0,0,,,False,0.0,0,,1298,,,,0.0,False,,0,6.27,False
6009e72c0a720f0535000003,BORDEN,815473010360,2,9.12,9.12,0.0,0,,False,,Borden 1% Chocolate Milk,"BORDEN 29 MILK, 1/2 GAL",,,,0.0,0.0,0,,,False,0.0,0,,1301,,,,0.0,False,,0,9.12,False
6009e72c0a720f0535000003,PEPSI,012000809941,1,1.39,1.39,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,REGULAR PEPSI SODA COLA CAN 12 CT 144 OZ,"PEPSI COLA, 12 OZ.CAN",PEPSI 12 OZ 12 PACK,,,0.0,0.0,0,,,False,0.0,0,,1304,Action not allowed for user and CPG,PEPSI 12 OZ 12 PACK,5332f5fbe4b03c9a25efd0ba,0.0,False,,0,1.39,False
